height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
174.0,75.0,0.25,138,54,26,58,12,18,1,0,1,0,0,0,1989,51.0851630073187,0.5176667095518005,0.029034860544053787,0.0,1.478289803546586,0.2000868711854663,0.011355177931784251,0.0,0.5757747840356563
183.0,85.0,0.125,185,85,43,57,36,25,1,0,0,1,0,0,1990,58.0851630073187,0.7110844247013915,0.02844636219123305,0.0,1.6522369547635647,0.07244700593760187,0.0028439949688549102,0.0,0.16654104307416084
183.0,72.0,0.0,58,25,7,26,2,2,0,0,0,1,0,0,1993,2.0,,,,,,,,
193.0,92.0,0.0,325,132,90,103,31,42,4,3,0,1,0,0,1982,268.2242266044793,0.7762130407500978,0.09709519027624895,0.013814860107225619,4.420952721307332,0.22408748823036184,0.030602148976008974,0.0035826996788595306,1.3486834596361268
188.0,83.0,0.125,322,115,96,111,0,11,0,1,0,1,0,0,1977,42.29452485840151,0.08988487903584483,0.0,0.0042126093239379,0.22171648624255344,0.026982963472854088,0.0,0.0011342690781363306,0.06247937533470764
196.0,84.0,0.0,342,121,85,136,106,39,2,0,0,1,0,0,1983,105.1703260146374,0.507591188126499,0.14654794202042726,0.0,5.356153738259425,0.14188727234014234,0.041113136170465046,0.0,1.5021220842820688
174.0,70.0,0.375,5,1,2,2,0,1,0,0,0,0,1,0,1992,1.0,0.6079290945110278,0.0,0.0,0.6079290945110278,0.10243455441378864,0.0,0.0,0.10243455441378864
173.0,72.0,0.0,103,49,23,31,6,14,1,0,0,1,0,0,1991,47.0851630073187,0.31542580062376413,0.03732754309504937,0.0,1.5504136485861861,0.07989723384970256,0.011196084103829967,0.0,0.4503215014685667
189.0,83.0,0.125,89,41,22,26,0,1,0,0,0,1,0,0,1992,1.0,0.2191692560722092,0.0,0.0,0.2191692560722092,0.021880921074898686,0.0,0.0,0.021880921074898686
180.0,68.0,1.0,214,88,54,72,11,34,0,0,1,0,0,0,1986,34.0,0.3288642777610092,0.0,0.0,0.3288642777610092,0.08050913065484677,0.0,0.0,0.08050913065484677
176.0,70.0,0.625,229,111,53,65,68,33,0,2,0,0,1,0,1982,95.58904971680302,0.3628896200926948,0.0,0.08147794298942398,2.9127031323866452,0.06431967472809044,0.0,0.01569731510764381,0.5555596925744112
174.0,73.0,0.75,153,77,31,45,42,18,2,1,0,0,1,0,1991,115.4648508730389,0.41909113907825873,0.019491043741616414,0.068302080997872,3.2014366701208754,0.07955817144906027,0.002346990170180767,0.010417216057987498,0.48321055068809465
183.0,80.0,0.0,255,96,57,102,16,77,7,4,0,0,0,1,1985,433.7742404848369,1.426834771533246,0.18424105218859485,0.07080128025310121,9.738172440720144,0.30201795336129134,0.03397080932933559,0.014458651957284312,1.8784243606091118
170.0,73.0,0.375,373,215,67,91,96,60,2,2,0,0,0,1,1988,188.7593757314404,0.23498759383109372,0.006149899872007849,0.02089626204115928,1.0923966254698927,0.09208562434365815,0.002251870890326958,0.008230990584256886,0.4241740792698574
175.0,73.0,0.25,227,91,51,85,53,25,0,0,0,0,0,1,1986,25.0,0.729603015676676,0.0,0.0,0.729603015676676,0.22146479544151385,0.0,0.0,0.22146479544151385
174.0,68.0,1.0,108,38,21,49,7,18,0,1,0,0,0,1,1992,49.29452485840151,0.12956147445827923,0.0,0.003327234995463717,0.23368571273356195,0.0882804920611149,0.0,0.0022671086743234303,0.15922858082642719
178.0,77.0,0.0,77,22,23,32,18,8,0,1,0,1,0,0,1992,39.29452485840151,,,,,,,,
186.0,81.0,0.75,147,48,35,64,1,41,1,0,0,0,0,1,1988,74.0851630073187,3.6467906588123995,0.11196634338992406,0.0,7.35121538120146,0.9216458974463984,0.028297023517934457,0.0,1.857857533159191
169.0,68.0,0.25,116,46,27,43,3,27,0,2,0,1,0,0,1988,89.58904971680302,2.1639346918949784,0.0,0.15939108352158604,7.1520029173688044,0.12965037917014613,0.0,0.008308763257121966,0.3896691774627226
190.0,79.0,1.0,420,195,109,116,24,91,5,2,1,0,0,0,1981,319.01486475339647,0.4058630392407884,0.016363756686495586,0.018549504651109435,1.5277585310407749,0.11301397105171329,0.00489527796487333,0.00502116238603719,0.4321099315935944
190.0,88.0,0.5,47,26,14,7,0,0,0,0,0,0,1,0,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.0,76.0,0.25,114,30,34,50,3,43,0,2,0,0,0,1,1990,105.58904971680302,18.219983464782267,0.0,1.0823752553336001,52.09240279893831,1.6233105813461395,0.0,0.09643429196115684,4.641175928326911
186.0,87.0,0.125,320,161,58,101,150,27,0,5,0,0,0,1,1985,183.47262429200754,0.08435801085612005,0.0,0.007965972216391193,0.33364932640331,0.0311107312401006,0.0,0.002965280209070961,0.12390776645499788
178.0,80.0,0.25,257,80,78,99,4,45,3,0,0,0,0,1,1979,144.2554890219561,,,,,,,,
