height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards
196.0,89.0,0.375,131,57,40,34,0,2,0,0
184.0,78.0,1.0,292,105,75,112,0,20,0,3
189.0,79.0,0.125,149,59,44,46,1,17,1,1
171.0,75.0,0.5,466,283,84,99,178,61,1,4
177.0,75.0,0.375,264,119,60,85,69,33,0,1
185.0,78.0,0.25,156,68,35,53,5,53,2,2
190.0,88.0,1.0,365,130,90,145,81,41,1,2
173.0,76.0,0.25,148,53,28,67,1,58,2,1
182.0,71.0,0.0,114,50,29,35,1,22,2,1
182.0,78.0,0.25,119,49,30,40,1,11,0,3
183.0,72.0,0.5,452,189,117,146,18,122,2,4
192.0,87.0,0.25,314,136,98,80,0,9,1,2
181.0,77.0,0.5,354,133,99,122,9,40,0,2
177.0,77.0,0.75,307,101,81,125,43,33,0,0
179.0,75.0,0.25,538,352,107,79,111,92,0,1
180.0,68.0,0.5,104,32,33,39,12,28,0,0
181.0,75.0,1.0,242,121,62,59,6,32,6,0
170.0,70.0,1.0,315,101,85,129,33,33,0,1
191.0,90.0,0.75,152,55,26,71,31,12,1,0
194.0,84.0,0.75,155,61,48,46,61,19,0,1
180.0,76.0,1.0,261,121,57,83,5,82,2,4
191.0,80.0,0.75,5,2,0,3,0,0,0,0
178.0,83.0,0.5,212,82,54,76,27,9,0,0
188.0,79.0,1.0,161,70,44,47,33,22,0,1
185.0,79.0,0.25,180,68,40,72,17,48,1,2
186.0,77.0,0.0,340,119,95,126,7,55,2,1
180.0,71.0,0.125,330,120,78,132,3,29,1,1
175.0,65.0,0.0,154,84,34,36,10,19,0,0
193.0,90.0,0.5,161,95,25,41,6,8,0,0
190.0,83.0,0.75,216,92,46,78,84,21,1,3
186.0,84.0,0.0,411,162,96,153,25,66,2,1
189.0,80.0,0.0,377,170,84,123,53,28,0,0
184.0,81.0,0.0,107,49,28,30,3,12,0,0
180.0,80.0,0.25,318,159,72,87,8,51,3,2
186.0,75.0,0.125,60,29,16,15,5,8,0,0
186.0,80.0,0.25,229,120,42,67,18,14,1,1
185.0,80.0,0.125,425,200,79,146,26,74,3,0
186.0,77.0,0.25,207,61,64,82,63,49,1,1
180.0,75.0,0.25,276,115,65,96,10,29,1,1
195.0,90.0,0.25,109,36,25,48,0,4,0,0
190.0,90.0,0.125,183,69,45,69,0,20,0,3
194.0,91.0,0.125,108,40,21,47,0,2,0,0
194.0,92.0,0.125,310,168,54,88,4,30,0,0
178.0,65.0,0.25,274,117,87,70,12,24,1,1
184.0,75.0,0.0,177,71,48,58,53,17,0,0
183.0,70.0,0.375,180,65,52,63,51,20,0,0
173.0,63.0,0.0,90,30,28,32,2,16,0,1
186.0,77.0,0.0,55,26,11,18,6,5,0,0
185.0,80.0,0.125,316,150,69,97,78,36,1,2
184.0,76.0,0.125,168,49,48,71,5,46,4,1
185.0,84.0,0.25,319,132,76,111,1,19,0,1
184.0,84.0,0.25,619,333,136,150,264,54,3,2
183.0,81.0,0.25,419,178,103,138,17,76,2,0
179.0,71.0,0.25,231,102,67,62,9,36,2,0
186.0,72.0,0.0,119,62,27,30,14,21,0,1
185.0,77.0,0.125,397,169,94,134,117,32,0,0
176.0,70.0,0.125,203,87,60,56,23,48,3,2
177.0,71.0,1.0,138,56,28,54,5,21,0,3
203.0,96.0,0.125,145,71,43,31,0,13,0,1
178.0,76.0,0.125,239,87,65,87,31,45,2,2
186.0,88.0,0.25,136,40,37,59,0,18,0,0
177.0,73.0,0.375,166,75,42,49,1,47,2,1
178.0,72.0,0.25,270,113,68,89,3,38,1,1
178.0,81.0,0.25,340,191,80,69,33,37,1,1
187.0,81.0,0.125,193,104,38,51,9,58,3,1
178.0,65.0,0.25,140,90,28,22,29,6,0,0
185.0,80.0,0.25,650,435,118,97,420,93,3,5
165.0,65.0,0.0,162,48,40,74,16,35,1,2
190.0,84.0,0.25,291,130,73,88,13,50,2,2
177.0,68.0,0.0,409,164,105,140,10,107,6,13
178.0,70.0,0.375,16,8,4,4,1,1,0,0
188.0,79.0,0.0,234,77,64,93,5,66,2,2
178.0,70.0,0.0,598,254,151,193,79,33,0,0
194.0,90.0,0.0,261,84,87,90,0,5,0,0
184.0,78.0,0.0,233,71,68,94,13,42,3,1
178.0,71.0,0.0,120,56,24,40,12,12,0,1
174.0,68.0,0.125,169,68,50,51,18,22,1,0
173.0,64.0,0.375,583,373,110,100,39,146,8,2
171.0,73.0,0.0,90,64,14,12,4,18,0,0
179.0,74.0,0.25,130,52,33,45,3,26,2,0
182.0,77.0,0.0,86,31,21,34,0,8,0,1
196.0,85.0,0.25,68,22,25,21,0,2,0,0
187.0,82.0,0.375,145,57,28,60,36,21,2,1
187.0,75.0,0.25,302,161,67,74,23,23,0,1
174.0,73.0,0.0,298,110,76,112,8,44,1,1
189.0,84.0,0.0,62,29,18,15,0,2,0,0
184.0,85.0,0.5,269,105,72,92,22,29,0,0
182.0,79.0,0.25,196,89,42,65,37,34,0,2
184.0,79.0,0.375,287,100,87,100,7,26,0,3
179.0,77.0,0.625,131,50,25,56,26,13,1,0
186.0,76.0,0.0,284,141,69,74,7,40,0,1
188.0,76.0,0.75,216,106,47,63,81,10,0,1
197.0,95.0,0.25,477,266,88,123,60,42,1,4
181.0,74.0,0.0,216,89,54,73,23,15,0,0
184.0,75.0,0.5,183,73,41,69,8,37,0,1
181.0,77.0,0.25,48,16,13,19,8,8,1,0
173.0,74.0,0.75,145,65,34,46,5,22,1,2
185.0,73.0,0.875,209,115,38,56,51,12,0,0
188.0,87.0,0.5,318,183,65,70,19,58,3,2
183.0,80.0,0.25,232,89,63,80,9,24,3,1
180.0,73.0,1.0,465,177,118,170,190,16,0,0
183.0,83.0,0.0,388,246,67,75,27,30,3,1
180.0,83.0,0.375,148,83,34,31,14,30,0,1
187.0,85.0,0.0,255,129,52,74,15,52,1,2
180.0,75.0,0.75,258,155,38,65,27,11,0,0
181.0,72.0,0.5,263,111,55,97,47,8,0,0
